benchmark,cache_lines,read_hit_rate,write_hit_rate,stat_inst_fetch,penalty_write_next,config_write_allocate,config_line_number,config_write_back,stat_lost_stall_cycles,access_count,penalty_read_next,config_replacement_policy,stat_inst_fetch_miss,stat_uc_data_read,config_line_size,stat_data_read_miss,penalty_read,stat_data_write,stat_copy_back,stat_transaction,stat_dev_data_read,stat_uc_inst_fetch,stat_uc_data_write,stat_data_write_miss,stat_data_read,penalty_write,config_assoc
equake,128,0.871024251382,0.808840381992,282068,0,0,128,0,0,0,0,random,58501,0,32,16492,0,73300,0,483237,0,0,0,14012,127869,0,1
equake,128,0.93454238322,0.817844474761,282101,0,0,128,0,0,0,0,random,30748,0,32,8370,0,73300,0,483270,0,0,0,13352,127869,0,4
equake,256,0.956369409317,0.810163710778,282006,0,0,256,0,0,0,0,random,21295,0,32,5579,0,73300,0,483175,0,0,0,13915,127869,0,1
equake,256,0.991663342953,0.827598908595,281974,0,0,256,0,0,0,0,random,1207,0,32,1066,0,73300,0,483143,0,0,0,12637,127869,0,4
equake,512,0.972323237063,0.813410641201,281998,0,0,512,0,0,0,0,random,13359,0,32,3539,0,73300,0,483167,0,0,0,13677,127869,0,1
equake,512,0.993157059178,0.829754433834,281968,0,0,512,0,0,0,0,random,839,0,32,875,0,73300,0,483137,0,0,0,12479,127869,0,4
equake,1024,0.979314767457,0.817626193724,281998,0,0,1024,0,0,0,0,random,5011,0,32,2645,0,73300,0,483167,0,0,0,13368,127869,0,1
equake,1024,0.9944396218,0.832796725784,281965,0,0,1024,0,0,0,0,random,616,0,32,711,0,73300,0,483134,0,0,0,12256,127869,0,4
equake,2048,0.980135920356,0.819836289222,281998,0,0,2048,0,0,0,0,random,4767,0,32,2540,0,73300,0,483167,0,0,0,13206,127869,0,1
equake,2048,0.996128850621,0.840218281037,281964,0,0,2048,0,0,0,0,random,357,0,32,495,0,73300,0,483133,0,0,0,11712,127869,0,4
equake,4096,0.990537190406,0.838663028649,281998,0,0,4096,0,0,0,0,random,3389,0,32,1210,0,73300,0,483167,0,0,0,11826,127869,0,1
equake,4096,0.997043849565,0.843492496589,281964,0,0,4096,0,0,0,0,random,121,0,32,378,0,73300,0,483133,0,0,0,11472,127869,0,4
equake,8192,0.991937060585,0.839618008186,281998,0,0,8192,0,0,0,0,random,3321,0,32,1031,0,73300,0,483167,0,0,0,11756,127869,0,1
equake,8192,0.997481797777,0.84451568895,281964,0,0,8192,0,0,0,0,random,38,0,32,322,0,73300,0,483133,0,0,0,11397,127869,0,4
equake,16384,0.997129875107,0.844979536153,281964,0,0,16384,0,0,0,0,random,2644,0,32,367,0,73300,0,483133,0,0,0,11363,127869,0,1
equake,16384,0.997606925838,0.846357435198,281964,0,0,16384,0,0,0,0,random,5,0,32,306,0,73300,0,483133,0,0,0,11262,127869,0,4
equake,32768,0.997552182312,0.904420190996,281964,0,0,32768,0,0,0,0,random,80,0,32,313,0,73300,0,483133,0,0,0,7006,127869,0,1
equake,32768,0.99763038735,0.865770804911,281964,0,0,32768,0,0,0,0,random,2,0,32,303,0,73300,0,483133,0,0,0,9839,127869,0,4
equake,65536,0.997606925838,0.909181446112,281964,0,0,65536,0,0,0,0,random,44,0,32,306,0,73300,0,483133,0,0,0,6657,127869,0,1
equake,65536,0.997661669365,0.924447476126,281964,0,0,65536,0,0,0,0,random,0,0,32,299,0,73300,0,483133,0,0,0,5538,127869,0,4
equake,131072,0.997622566846,0.996248294679,281964,0,0,131072,0,0,0,0,random,11,0,32,304,0,73300,0,483133,0,0,0,275,127869,0,1
equake,131072,0.997661669365,0.995961800819,281964,0,0,131072,0,0,0,0,random,0,0,32,299,0,73300,0,483133,0,0,0,296,127869,0,4
equake,262144,0.997653848861,0.996261937244,281964,0,0,262144,0,0,0,0,random,0,0,32,300,0,73300,0,483133,0,0,0,274,127869,0,1
equake,262144,0.997653848861,0.996452933151,281964,0,0,262144,0,0,0,0,random,0,0,32,300,0,73300,0,483133,0,0,0,260,127869,0,4
equake,524288,0.997653848861,0.996343792633,281964,0,0,524288,0,0,0,0,random,0,0,32,300,0,73300,0,483133,0,0,0,268,127869,0,1
equake,524288,0.997669489869,0.99653478854,281964,0,0,524288,0,0,0,0,random,0,0,32,298,0,73300,0,483133,0,0,0,254,127869,0,4
equake,1048576,0.997669489869,0.996398362892,281964,0,0,1048576,0,0,0,0,random,0,0,32,298,0,73300,0,483133,0,0,0,264,127869,0,1
equake,1048576,0.997669489869,0.99653478854,281964,0,0,1048576,0,0,0,0,random,0,0,32,298,0,73300,0,483133,0,0,0,254,127869,0,4
vortex,128,0.748445616774,0.281976152994,255425,0,0,128,0,0,0,0,random,105535,0,32,46730,0,132763,0,573953,0,0,0,95327,185765,0,1
vortex,128,0.777864506231,0.287241174122,254855,0,0,128,0,0,0,0,random,95871,0,32,41265,0,132763,0,573383,0,0,0,94628,185765,0,4
vortex,256,0.827362527925,0.338053523949,254612,0,0,256,0,0,0,0,random,71445,0,32,32070,0,132763,0,573140,0,0,0,87882,185765,0,1
vortex,256,0.852803272952,0.379834743114,254450,0,0,256,0,0,0,0,random,62249,0,32,27344,0,132763,0,572978,0,0,0,82335,185765,0,4
vortex,512,0.876806718165,0.405805834457,254369,0,0,512,0,0,0,0,random,48417,0,32,22885,0,132763,0,572897,0,0,0,78887,185765,0,1
vortex,512,0.906074879552,0.474703042263,254228,0,0,512,0,0,0,0,random,40945,0,32,17448,0,132763,0,572756,0,0,0,69740,185765,0,4
vortex,1024,0.926159394934,0.498165904657,254318,0,0,1024,0,0,0,0,random,32516,0,32,13717,0,132763,0,572846,0,0,0,66625,185765,0,1
vortex,1024,0.946588431621,0.534275362865,254195,0,0,1024,0,0,0,0,random,23378,0,32,9922,0,132763,0,572723,0,0,0,61831,185765,0,4
vortex,2048,0.959750222055,0.572313069153,254186,0,0,2048,0,0,0,0,random,20964,0,32,7477,0,132763,0,572714,0,0,0,56781,185765,0,1
vortex,2048,0.978445885931,0.674645797398,254187,0,0,2048,0,0,0,0,random,7985,0,32,4004,0,132763,0,572715,0,0,0,43195,185765,0,4
vortex,4096,0.978338223024,0.645330400789,254183,0,0,4096,0,0,0,0,random,8844,0,32,4024,0,132763,0,572711,0,0,0,47087,185765,0,1
vortex,4096,0.992732753748,0.765499423785,254184,0,0,4096,0,0,0,0,random,1505,0,32,1350,0,132763,0,572712,0,0,0,31133,185765,0,4
vortex,8192,0.988695394719,0.711832362932,254183,0,0,8192,0,0,0,0,random,3610,0,32,2100,0,132763,0,572711,0,0,0,38258,185765,0,1
vortex,8192,0.997125400371,0.878701144144,254183,0,0,8192,0,0,0,0,random,157,0,32,534,0,132763,0,572711,0,0,0,16104,185765,0,4
vortex,16384,0.991306220224,0.824062427032,254183,0,0,16384,0,0,0,0,random,2125,0,32,1615,0,132763,0,572711,0,0,0,23358,185765,0,1
vortex,16384,0.997997469922,0.942770199528,254183,0,0,16384,0,0,0,0,random,38,0,32,372,0,132763,0,572711,0,0,0,7598,185765,0,4
vortex,32768,0.993104190779,0.835044402431,254183,0,0,32768,0,0,0,0,random,1711,0,32,1281,0,132763,0,572711,0,0,0,21900,185765,0,1
vortex,32768,0.998250477754,0.963363286458,254183,0,0,32768,0,0,0,0,random,19,0,32,325,0,132763,0,572711,0,0,0,4864,185765,0,4
vortex,65536,0.995968024116,0.963250303172,254183,0,0,65536,0,0,0,0,random,1120,0,32,749,0,132763,0,572711,0,0,0,4879,185765,0,1
