benchmark,cache_lines,read_hit_rate,write_hit_rate,stat_inst_fetch,penalty_write_next,config_write_allocate,config_line_number,config_write_back,stat_lost_stall_cycles,access_count,penalty_read_next,config_replacement_policy,stat_inst_fetch_miss,stat_uc_data_read,config_line_size,stat_data_read_miss,penalty_read,stat_data_write,stat_copy_back,stat_transaction,stat_dev_data_read,stat_uc_inst_fetch,stat_uc_data_write,stat_data_write_miss,stat_data_read,penalty_write
equake,128,0.871024251382,0.808840381992,282068,0,0,128,0,0,0,0,random,58501,0,32,16492,0,73300,0,483237,0,0,0,14012,127869,0
equake,256,0.956369409317,0.810163710778,282006,0,0,256,0,0,0,0,random,21295,0,32,5579,0,73300,0,483175,0,0,0,13915,127869,0
equake,512,0.972323237063,0.813410641201,281998,0,0,512,0,0,0,0,random,13359,0,32,3539,0,73300,0,483167,0,0,0,13677,127869,0
equake,1024,0.979314767457,0.817626193724,281998,0,0,1024,0,0,0,0,random,5011,0,32,2645,0,73300,0,483167,0,0,0,13368,127869,0
equake,2048,0.980135920356,0.819836289222,281998,0,0,2048,0,0,0,0,random,4767,0,32,2540,0,73300,0,483167,0,0,0,13206,127869,0
equake,4096,0.990537190406,0.838663028649,281998,0,0,4096,0,0,0,0,random,3389,0,32,1210,0,73300,0,483167,0,0,0,11826,127869,0
equake,8192,0.991937060585,0.839618008186,281998,0,0,8192,0,0,0,0,random,3321,0,32,1031,0,73300,0,483167,0,0,0,11756,127869,0
equake,16384,0.997129875107,0.844979536153,281964,0,0,16384,0,0,0,0,random,2644,0,32,367,0,73300,0,483133,0,0,0,11363,127869,0
equake,32768,0.997552182312,0.904420190996,281964,0,0,32768,0,0,0,0,random,80,0,32,313,0,73300,0,483133,0,0,0,7006,127869,0
equake,65536,0.997606925838,0.909181446112,281964,0,0,65536,0,0,0,0,random,44,0,32,306,0,73300,0,483133,0,0,0,6657,127869,0
equake,131072,0.997622566846,0.996248294679,281964,0,0,131072,0,0,0,0,random,11,0,32,304,0,73300,0,483133,0,0,0,275,127869,0
vortex,128,0.748445616774,0.281976152994,255425,0,0,128,0,0,0,0,random,105535,0,32,46730,0,132763,0,573953,0,0,0,95327,185765,0
vortex,256,0.827362527925,0.338053523949,254612,0,0,256,0,0,0,0,random,71445,0,32,32070,0,132763,0,573140,0,0,0,87882,185765,0
vortex,512,0.876806718165,0.405805834457,254369,0,0,512,0,0,0,0,random,48417,0,32,22885,0,132763,0,572897,0,0,0,78887,185765,0
vortex,1024,0.926159394934,0.498165904657,254318,0,0,1024,0,0,0,0,random,32516,0,32,13717,0,132763,0,572846,0,0,0,66625,185765,0
vortex,2048,0.959750222055,0.572313069153,254186,0,0,2048,0,0,0,0,random,20964,0,32,7477,0,132763,0,572714,0,0,0,56781,185765,0
vortex,4096,0.978338223024,0.645330400789,254183,0,0,4096,0,0,0,0,random,8844,0,32,4024,0,132763,0,572711,0,0,0,47087,185765,0
vortex,8192,0.988695394719,0.711832362932,254183,0,0,8192,0,0,0,0,random,3610,0,32,2100,0,132763,0,572711,0,0,0,38258,185765,0
vortex,16384,0.991306220224,0.824062427032,254183,0,0,16384,0,0,0,0,random,2125,0,32,1615,0,132763,0,572711,0,0,0,23358,185765,0
vortex,32768,0.993104190779,0.835044402431,254183,0,0,32768,0,0,0,0,random,1711,0,32,1281,0,132763,0,572711,0,0,0,21900,185765,0
vortex,65536,0.995968024116,0.963250303172,254183,0,0,65536,0,0,0,0,random,1120,0,32,749,0,132763,0,572711,0,0,0,4879,185765,0
vortex,131072,0.997889807014,0.963272899829,254183,0,0,131072,0,0,0,0,random,164,0,32,392,0,132763,0,572711,0,0,0,4876,185765,0
parser,128,0.872057064175,0.634170131513,225110,0,0,128,0,0,0,0,random,16248,0,32,28340,0,120977,0,567592,0,0,0,44257,221505,0
parser,256,0.922060450103,0.792125775974,224676,0,0,256,0,0,0,0,random,10678,0,32,17264,0,120977,0,567158,0,0,0,25148,221505,0
parser,512,0.957842938083,0.846226968763,223077,0,0,512,0,0,0,0,random,7002,0,32,9338,0,120977,0,565559,0,0,0,18603,221505,0
parser,1024,0.984040992303,0.970523322615,223077,0,0,1024,0,0,0,0,random,1269,0,32,3535,0,120977,0,565559,0,0,0,3566,221505,0
parser,2048,0.994997855579,0.998520379907,223077,0,0,2048,0,0,0,0,random,684,0,32,1108,0,120977,0,565559,0,0,0,179,221505,0
parser,4096,0.9966321302,0.998908883507,223024,0,0,4096,0,0,0,0,random,311,0,32,746,0,120977,0,565506,0,0,0,132,221505,0
parser,8192,0.998446987653,0.999032874017,223024,0,0,8192,0,0,0,0,random,113,0,32,344,0,120977,0,565506,0,0,0,117,221505,0
parser,16384,0.998984221575,0.99965282657,223024,0,0,16384,0,0,0,0,random,62,0,32,225,0,120977,0,565506,0,0,0,42,221505,0
parser,32768,0.999548542922,0.99965282657,223024,0,0,32768,0,0,0,0,random,43,0,32,100,0,120977,0,565506,0,0,0,42,221505,0
parser,65536,0.999954854292,0.999809881217,223024,0,0,65536,0,0,0,0,random,26,0,32,10,0,120977,0,565506,0,0,0,23,221505,0
parser,131072,0.999968398005,0.999809881217,223024,0,0,131072,0,0,0,0,random,25,0,32,7,0,120977,0,565506,0,0,0,23,221505,0
