Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Multisubbank interleave cycle time (ns), Delay request network (ns), Delay inside mat (ns), Delay reply network (ns), Tag array access time (ns), Refresh period (microsec), DRAM array availability (%), Dynamic read energy (nJ), Dynamic write energy (nJ), Dynamic read power (mW), Standby leakage per bank(mW), Leakage per bank with leak power management (mW), Refresh power as percentage of standby leakage, Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Area efficiency, Resistance per unit micron (ohm-micron), Capacitance per unit micron (fF per micron), Unit-length wire delay (ps), FO4 delay (ps), delay route to bank (including crossb delay) (ps), Crossbar delay (ps), Dyn read energy per access from closed page (nJ), Dyn read energy per access from open page (nJ), Leak power of an subbank with page closed (mW), Leak power of a subbank with page  open (mW), Leak power of request and reply networks (mW), Number of subbanks, Page size in bits, Activate power, Read power, Write power, Precharge power, tRCD, CAS latency, Precharge delay, Perc dyn energy bitlines, perc dyn energy wordlines, perc dyn energy outside mat, Area opt (perc), Delay opt (perc), Repeater opt (perc), Aspect ratio
65, 4096, 1, 4, 256, 0.927679, 0.789593, 0.191935, 0.191935, 0.24126, 0.148093, 0.509497, 0, 0, 0.0469514, 0.0396717, 59.4628, 3.36345, 3.36345, 0, 0.25765, 2, 2, 1, 1, 4, 2, 2, 4, 0.5, 1, 1, 1, 9.0709, 0.734018, 0.282409, 0.000103647, 13.0922, 0, 0, 0.0446976, 0.0273326, 0.333692, 0.87183, 0, 1, 2304, 0.00782021, 0.0266845, 0.0241117, 0.00982946, 0, 0, 0, 6.77852, 2.06566, 50.6285, 50, 10, 10, 0.314183
65, 2048, 1, 4, 256, 1e+39, 1e+39, 0, 0, 0, 0, 0, 0, 0, 1e+39, 1e+39, 1000, 1e+33, 1e+33, nan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.734018, 0.282409, 0.000103647, 13.0922, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 10, 10, nan
65, 1024, 1, 4, 256, 1e+39, 1e+39, 0, 0, 0, 0, 0, 0, 0, 1e+39, 1e+39, 1000, 1e+33, 1e+33, nan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.734018, 0.282409, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 10, 10, nan
65, 512, 1, 4, 256, 1e+39, 1e+39, 0, 0, 0, 0, 0, 0, 0, 1e+39, 1e+39, 1000, 1e+33, 1e+33, nan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.734018, 0.282409, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 10, 10, nan
65, 256, 1, 1, 128, 1e+39, 1e+39, 0, 0, 0, 0, 0, 0, 0, 1e+39, 1e+39, 1000, 1e+33, 1e+33, nan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.734018, 0.282409, 0.000103647, 13.0922, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 10, 10, nan
65, 1024, 1, 1, 512, 1e+39, 1e+39, 0, 0, 0, 0, 0, 0, 0, 1e+39, 1e+39, 1000, 1e+33, 1e+33, nan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.734018, 0.282409, 0.000103647, 13.0922, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 10, 10, nan
65, 512, 1, 1, 256, 1e+39, 1e+39, 0, 0, 0, 0, 0, 0, 0, 1e+39, 1e+39, 1000, 1e+33, 1e+33, nan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.734018, 0.282409, 0.000103647, 13.0922, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 10, 10, nan
65, 512, 1, 1, 512, 1e+39, 1e+39, 0, 0, 0, 0, 0, 0, 0, 1e+39, 1e+39, 1000, 1e+33, 1e+33, nan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.734018, 0.282409, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 10, 10, nan
65, 256, 1, 1, 256, 1e+39, 1e+39, 0, 0, 0, 0, 0, 0, 0, 1e+39, 1e+39, 1000, 1e+33, 1e+33, nan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.734018, 0.282409, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 10, 10, nan
65, 256, 1, 1, 512, 1e+39, 1e+39, 0, 0, 0, 0, 0, 0, 0, 1e+39, 1e+39, 1000, 1e+33, 1e+33, nan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.734018, 0.282409, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 10, 10, nan
